State_Name,Season,Crop,Area,Production,soil_type
Andaman and Nicobar Islands,Kharif     ,Arecanut,1254,2000, Laterite
Andaman and Nicobar Islands,Kharif     ,Arecanut,1254,2061, Laterite
Andaman and Nicobar Islands,Whole Year ,Arecanut,1258,2083, Laterite
Andaman and Nicobar Islands,Whole Year ,Arecanut,1261,1525, Laterite
Andaman and Nicobar Islands,Whole Year ,Arecanut,1264.7,805.85, Laterite
Andaman and Nicobar Islands,Whole Year ,Arecanut,896,477.6, Laterite
Andaman and Nicobar Islands,Rabi       ,Arecanut,944,1610, Laterite
Andaman and Nicobar Islands,Kharif     ,Arecanut,3100,5200, Laterite
Andaman and Nicobar Islands,Kharif     ,Arecanut,3100,5239, Laterite
Andaman and Nicobar Islands,Whole Year ,Arecanut,1160,3011.7, Laterite
Andaman and Nicobar Islands,Rabi       ,Arecanut,1296,2290, Laterite
Andaman and Nicobar Islands,Whole Year ,Arecanut,3105,5267, Laterite
Andaman and Nicobar Islands,Whole Year ,Arecanut,3118,5182, Laterite
Andaman and Nicobar Islands,Whole Year ,Arecanut,3160.67,3975.2, Laterite
Andaman and Nicobar Islands,Whole Year ,Arecanut,3250.78,3058.46, Laterite
Andaman and Nicobar Islands,Whole Year ,Arecanut,2000,2350, Laterite
Andaman and Nicobar Islands,Rabi       ,Arecanut,1912,1900, Laterite
Andhra Pradesh,Whole Year ,Arecanut,252,696, Laterite
Andhra Pradesh,Whole Year ,Arecanut,257,430, Laterite
Andhra Pradesh,Whole Year ,Arecanut,263,379, Laterite
Andhra Pradesh,Whole Year ,Arecanut,266,189, Laterite
Andhra Pradesh,Whole Year ,Arecanut,268,214, Laterite
Andhra Pradesh,Whole Year ,Arecanut,217,150, Laterite
Andhra Pradesh,Whole Year ,Arecanut,325,232, Laterite
Andhra Pradesh,Whole Year ,Arecanut,356,169, Laterite
Andhra Pradesh,Whole Year ,Arecanut,409,182, Laterite
Andhra Pradesh,Whole Year ,Arecanut,541,267, Laterite
Andhra Pradesh,Kharif     ,Arecanut,558,302, Laterite
Andhra Pradesh,Kharif     ,Arecanut,453,186, Laterite
Andhra Pradesh,Whole Year ,Arecanut,6,17, Laterite
Andhra Pradesh,Whole Year ,Arecanut,7,12, Laterite
Andhra Pradesh,Whole Year ,Arecanut,7,10, Laterite
Andhra Pradesh,Whole Year ,Arecanut,6,4, Laterite
Andhra Pradesh,Whole Year ,Arecanut,6,5, Laterite
Andhra Pradesh,Whole Year ,Arecanut,19,13, Laterite
Andhra Pradesh,Whole Year ,Arecanut,20,19, Laterite
Andhra Pradesh,Whole Year ,Arecanut,20,19, Laterite
Andhra Pradesh,Whole Year ,Arecanut,20,8, Laterite
Andhra Pradesh,Kharif     ,Arecanut,22,62, Laterite
Andhra Pradesh,Kharif     ,Arecanut,23,69, Laterite
Andhra Pradesh,Whole Year ,Arecanut,4,11, Laterite
Andhra Pradesh,Whole Year ,Arecanut,4,7, Laterite
Andhra Pradesh,Whole Year ,Arecanut,18,26, Laterite
Andhra Pradesh,Whole Year ,Arecanut,18,13, Laterite
Andhra Pradesh,Whole Year ,Arecanut,9,4, Laterite
